country,iso_code,co2
Afghanistan,AFG,11.02
Albania,ALB,5.144
Algeria,DZA,178.133
Andorra,AND,0.424
Angola,AGO,20.781
Anguilla,AIA,0.145
Antarctica,ATA,0.0
Antigua and Barbuda,ATG,0.645
Argentina,ARG,195.806
Armenia,ARM,7.608
Aruba,ABW,0.867
Australia,AUS,382.972
Austria,AUT,58.578
Azerbaijan,AZE,43.937
Bahamas,BHS,2.505
Bahrain,BHR,36.527
Bangladesh,BGD,113.427
Barbados,BRB,1.192
Belarus,BLR,56.491
Belgium,BEL,83.368
Belize,BLZ,0.668
Benin,BEN,5.592
Bermuda,BMU,0.523
Bhutan,BTN,1.713
Bolivia,BOL,23.359
Bonaire Sint Eustatius and Saba,BES,0.115
Bosnia and Herzegovina,BIH,20.179
Botswana,BWA,6.714
Brazil,BRA,486.47
British Virgin Islands,VGB,0.185
Brunei,BRN,11.77
Bulgaria,BGR,36.094
Burkina Faso,BFA,6.187
Burundi,BDI,0.71
Cambodia,KHM,20.178
Cameroon,CMR,9.941
Canada,CAN,549.299
Cape Verde,CPV,0.535
Central African Republic,CAF,0.281
Chad,TCD,3.079
Chile,CHL,77.288
China,CHN,11902.503
Christmas Island,CXR,0.0
Colombia,COL,105.239
Comoros,COM,0.449
Congo,COG,7.674
Cook Islands,COK,0.073
Costa Rica,CRI,8.279
Cote d'Ivoire,CIV,13.196
Croatia,HRV,17.524
Cuba,CUB,23.097
Curacao,CUW,2.023
Cyprus,CYP,7.174
Czechia,CZE,85.624
Democratic Republic of Congo,COD,4.616
Denmark,DNK,27.265
Djibouti,DJI,0.493
Dominica,DMA,0.163
Dominican Republic,DOM,32.02
East Timor,TLS,0.632
Ecuador,ECU,43.173
Egypt,EGY,269.006
El Salvador,SLV,8.23
Equatorial Guinea,GNQ,6.141
Eritrea,ERI,0.621
Estonia,EST,10.019
Eswatini,SWZ,1.104
Ethiopia,ETH,15.227
Faroe Islands,FRO,0.798
Fiji,FJI,1.146
Finland,FIN,31.622
France,FRA,272.476
French Polynesia,PYF,0.916
Gabon,GAB,5.411
Gambia,GMB,0.711
Georgia,GEO,11.769
Germany,DEU,596.151
Ghana,GHA,19.647
Greece,GRC,55.196
Greenland,GRL,0.596
Grenada,GRD,0.339
Guatemala,GTM,20.382
Guinea,GIN,4.043
Guinea-Bissau,GNB,0.298
Guyana,GUY,3.545
Haiti,HTI,3.522
Honduras,HND,11.042
Hong Kong,HKG,33.871
Hungary,HUN,40.19
Iceland,ISL,3.762
India,IND,3062.324
Indonesia,IDN,733.224
Iran,IRN,817.88
Iraq,IRQ,176.458
Ireland,IRL,34.433
Israel,ISR,59.489
Italy,ITA,313.461
Jamaica,JAM,7.649
Japan,JPN,988.785
Jordan,JOR,21.189
Kazakhstan,KAZ,255.161
Kenya,KEN,21.531
Kiribati,KIR,0.069
Kuwait,KWT,99.233
Kyrgyzstan,KGZ,10.152
Laos,LAO,24.796
Latvia,LVA,6.513
Lebanon,LBN,19.475
Lesotho,LSO,3.889
Liberia,LBR,0.771
Libya,LBY,60.976
Liechtenstein,LIE,0.157
Lithuania,LTU,12.462
Luxembourg,LUX,6.993
Macao,MAC,1.057
Madagascar,MDG,4.476
Malawi,MWI,1.752
Malaysia,MYS,288.824
Maldives,MDV,2.062
Mali,MLI,6.762
Malta,MLT,1.822
Marshall Islands,MHL,0.153
Mauritania,MRT,4.413
Mauritius,MUS,4.139
Mexico,MEX,482.623
Micronesia (country),FSM,0.149
Moldova,MDA,5.962
Mongolia,MNG,46.87
Montenegro,MNE,2.328
Montserrat,MSR,0.022
Morocco,MAR,68.668
Mozambique,MOZ,8.023
Myanmar,MMR,30.233
Namibia,NAM,4.174
Nauru,NRU,0.057
Nepal,NPL,16.677
Netherlands,NLD,118.668
New Caledonia,NCL,5.068
New Zealand,NZL,30.119
Nicaragua,NIC,5.588
Niger,NER,2.598
Nigeria,NGA,128.54
Niue,NIU,0.008
North Korea,PRK,60.764
North Macedonia,MKD,7.449
Norway,NOR,38.901
Oman,OMN,78.511
Pakistan,PAK,200.667
Palau,PLW,0.222
Palestine,PSE,3.497
Panama,PAN,14.018
Papua New Guinea,PNG,8.322
Paraguay,PRY,8.139
Peru,PER,55.864
Philippines,PHL,154.579
Poland,POL,289.282
Portugal,PRT,37.228
Qatar,QAT,115.712
Romania,ROU,68.239
Russia,RUS,1815.925
Rwanda,RWA,1.54
Saint Helena,SHN,0.011
Saint Kitts and Nevis,KNA,0.233
Saint Lucia,LCA,0.511
Saint Pierre and Miquelon,SPM,0.056
Saint Vincent and the Grenadines,VCT,0.237
Samoa,WSM,0.257
Sao Tome and Principe,STP,0.166
Saudi Arabia,SAU,736.205
Senegal,SEN,11.901
Serbia,SRB,42.358
Seychelles,SYC,0.551
Sierra Leone,SLE,1.232
Singapore,SGP,49.253
Sint Maarten (Dutch part),SXM,0.693
Slovakia,SVK,30.739
Slovenia,SVN,11.328
Solomon Islands,SLB,0.303
Somalia,SOM,0.558
South Africa,ZAF,401.893
South Korea,KOR,577.417
South Sudan,SSD,1.58
Spain,ESP,221.616
Sri Lanka,LKA,20.318
Sudan,SDN,20.001
Suriname,SUR,2.647
Sweden,SWE,36.556
Switzerland,CHE,32.737
Syria,SYR,25.503
Taiwan,TWN,261.153
Tajikistan,TJK,9.055
Tanzania,TZA,18.066
Thailand,THA,264.389
Togo,TGO,2.62
Tonga,TON,0.199
Trinidad and Tobago,TTO,34.318
Tunisia,TUN,32.793
Turkey,TUR,432.077
Turkmenistan,TKM,63.363
Turks and Caicos Islands,TCA,0.371
Tuvalu,TUV,0.012
Uganda,UGA,5.614
Ukraine,UKR,136.461
United Arab Emirates,ARE,229.384
United Kingdom,GBR,305.146
United States,USA,4911.391
Uruguay,URY,7.866
Uzbekistan,UZB,124.768
Vanuatu,VUT,0.226
Venezuela,VEN,99.569
Vietnam,VNM,334.726
Wallis and Futuna,WLF,0.031
Yemen,YEM,10.035
Zambia,ZMB,7.749
Zimbabwe,ZWE,11.164
