year,co2
1990,22728.988
1991,23186.102
1992,22528.172
1993,22755.787
1994,22992.947
1995,23532.084
1996,24258.168
1997,24401.906
1998,24303.777
1999,24853.729
2000,25510.553
2001,25706.293
2002,26276.869
2003,27669.49
2004,28632.506
2005,29614.395
2006,30628.396
2007,31534.645
2008,32074.199
2009,31541.922
2010,33355.902
2011,34504.539
2012,35000.02
2013,35301.656
2014,35450.094
2015,35404.898
2016,35416.656
2017,35989.898
2018,36730.426
2019,37104.273
2020,35126.527
2021,36991.734
2022,37293.836
2023,37791.57
